id,first_name,last_name,bill_number,sponsor_state,sponsor_party
B001248,Michael,Burgess,H.R.119,TX,R
B001285,Julia,Brownley,H.R.94,CA,D
C001053,Tom,Cole,H.R.131,OK,R
B001285,Julia,Brownley,H.R.93,CA,D
B001248,Michael,Burgess,H.R.120,TX,R
C000714,John,Conyers,H.R.139,MI,D
K000362,Steve,King,H.R.140,IA,R
R000593,Dennis,Ross,H.RES.14,FL,R
R000487,Edward,Royce,H.RES.11,CA,R
C001053,Tom,Cole,H.R.133,OK,R
B001285,Julia,Brownley,H.R.106,CA,D
B001285,Julia,Brownley,H.R.110,CA,D
C000714,John,Conyers,H.R.138,MI,D
B001285,Julia,Brownley,H.R.97,CA,D
C000714,John,Conyers,H.R.143,MI,D
C000714,John,Conyers,H.R.136,MI,D
B001243,Marsha,Blackburn,H.R.88,TN,R
B001248,Michael,Burgess,H.R.128,TX,R
B001285,Julia,Brownley,H.R.91,CA,D
C001053,Tom,Cole,H.R.132,OK,R
B001285,Julia,Brownley,H.R.95,CA,D
G000553,Al,Green,H.R.125,TX,D
B001260,Vern,Buchanan,H.R.111,FL,R
G000553,Al,Green,H.R.126,TX,D
C000714,John,Conyers,H.R.137,MI,D
C000714,John,Conyers,H.R.142,MI,D
B001285,Julia,Brownley,H.R.101,CA,D
C000714,John,Conyers,H.R.135,MI,D
G000553,Al,Green,H.R.121,TX,D
B001243,Marsha,Blackburn,H.R.87,TN,R
B001248,Michael,Burgess,H.R.118,TX,R
B001285,Julia,Brownley,H.R.90,CA,D
B001285,Julia,Brownley,H.R.108,CA,D
C000714,John,Conyers,H.R.141,MI,D
B001285,Julia,Brownley,H.R.103,CA,D
B001285,Julia,Brownley,H.R.107,CA,D
C000714,John,Conyers,H.R.144,MI,D
B001248,Michael,Burgess,H.R.117,TX,R
B001260,Vern,Buchanan,H.R.114,FL,R
B001243,Marsha,Blackburn,H.R.89,TN,R
B001285,Julia,Brownley,H.R.92,CA,D
B001285,Julia,Brownley,H.R.105,CA,D
B001285,Julia,Brownley,H.R.104,CA,D
G000553,Al,Green,H.R.123,TX,D
B001260,Vern,Buchanan,H.R.113,FL,R
B001260,Vern,Buchanan,H.R.115,FL,R
G000553,Al,Green,H.R.122,TX,D
B001285,Julia,Brownley,H.R.109,CA,D
B001285,Julia,Brownley,H.R.98,CA,D
C000714,John,Conyers,H.R.134,MI,D
Y000033,Don,Young,H.R.207,AK,R
G000553,Al,Green,H.R.124,TX,D
B001260,Vern,Buchanan,H.R.112,FL,R
B001260,Vern,Buchanan,H.R.116,FL,R
Y000033,Don,Young,H.R.210,AK,R
Y000033,Don,Young,H.R.208,AK,R
Y000033,Don,Young,H.R.214,AK,R
P000592,Ted,Poe,H.R.22,TX,R
M001184,Thomas,Massie,H.R.24,KY,R
G000289,Robert,Goodlatte,H.R.29,VA,R
M001190,Markwayne,Mullin,H.R.44,OK,R
Y000033,Don,Young,H.R.212,AK,R
Y000033,Don,Young,H.R.213,AK,R
J000032,Sheila,Jackson Lee,H.R.48,TX,D
Y000033,Don,Young,H.R.215,AK,R
B001248,Michael,Burgess,H.R.35,TX,R
H001067,Richard,Hudson,H.R.31,NC,R
Y000033,Don,Young,H.R.216,AK,R
J000032,Sheila,Jackson Lee,H.R.59,TX,D
J000032,Sheila,Jackson Lee,H.R.55,TX,D
H001067,Richard,Hudson,H.R.38,NC,R
H001067,Richard,Hudson,H.R.32,NC,R
W000810,Rob,Woodall,H.R.25,GA,R
J000032,Sheila,Jackson Lee,H.R.56,TX,D
M001190,Markwayne,Mullin,H.R.43,OK,R
F000448,Trent,Franks,H.R.37,AZ,R
V000129,David,Valadao,H.R.23,CA,R
J000032,Sheila,Jackson Lee,H.R.47,TX,D
M001184,Thomas,Massie,H.R.34,KY,R
K000386,John,Katko,H.R.46,NY,R
S001157,David,Scott,H.R.52,GA,D
M001165,Kevin,McCarthy,H.R.39,CA,R
Y000033,Don,Young,H.R.211,AK,R
Y000033,Don,Young,H.R.209,AK,R
H001067,Richard,Hudson,H.R.30,NC,R
F000448,Trent,Franks,H.R.36,AZ,R
C000714,John,Conyers,H.R.40,MI,D
J000032,Sheila,Jackson Lee,H.R.54,TX,D
F000450,Virginia,Foxx,H.R.50,NC,R
J000032,Sheila,Jackson Lee,H.R.53,TX,D
Y000033,Don,Young,H.R.231,AK,R
C000266,Steven,Chabot,H.R.33,OH,R
G000553,Al,Green,H.R.153,TX,D
S001157,David,Scott,H.R.51,GA,D
J000032,Sheila,Jackson Lee,H.R.64,TX,D
B001302,Andy,Biggs,H.R.84,AZ,R
J000032,Sheila,Jackson Lee,H.R.61,TX,D
G000553,Al,Green,H.R.127,TX,D
J000032,Sheila,Jackson Lee,H.R.62,TX,D
B001285,Julia,Brownley,H.R.96,CA,D
J000032,Sheila,Jackson Lee,H.R.65,TX,D
J000032,Sheila,Jackson Lee,H.R.57,TX,D
D000612,Jeffrey,Denham,H.R.60,CA,R
Y000033,Don,Young,H.R.225,AK,R
G000410,Gene,Green,H.R.156,TX,D
Y000033,Don,Young,H.R.227,AK,R
J000032,Sheila,Jackson Lee,H.R.58,TX,D
G000553,Al,Green,H.R.150,TX,D
Y000033,Don,Young,H.R.222,AK,R
Y000033,Don,Young,H.R.220,AK,R
Y000033,Don,Young,H.R.236,AK,R
Y000033,Don,Young,H.R.221,AK,R
Y000033,Don,Young,H.R.49,AK,R
Y000033,Don,Young,H.R.218,AK,R
M001190,Markwayne,Mullin,H.R.41,OK,R
Y000033,Don,Young,H.R.224,AK,R
Y000033,Don,Young,H.R.229,AK,R
M001190,Markwayne,Mullin,H.R.42,OK,R
J000032,Sheila,Jackson Lee,H.R.63,TX,D
F000466,Brian,Fitzpatrick,H.R.145,PA,R
B001243,Marsha,Blackburn,H.R.85,TN,R
Y000033,Don,Young,H.R.223,AK,R
G000553,Al,Green,H.R.149,TX,D
Y000033,Don,Young,H.R.237,AK,R
Y000033,Don,Young,H.R.226,AK,R
G000553,Al,Green,H.R.152,TX,D
F000448,Trent,Franks,H.R.147,AZ,R
Y000033,Don,Young,H.R.235,AK,R
B001285,Julia,Brownley,H.R.99,CA,D
M001190,Markwayne,Mullin,H.R.180,OK,R
G000289,Robert,Goodlatte,H.R.5,VA,R
B001273,Diane,Black,H.R.217,TN,R
K000362,Steve,King,H.R.177,IA,R
D000619,Rodney,Davis,H.R.66,IL,R
D000533,John,Duncan,H.R.73,TN,R
K000362,Steve,King,H.R.174,IA,R
W000798,Tim,Walberg,H.R.71,MI,R
C001103,Buddy,Carter,H.R.72,GA,R
B001285,Julia,Brownley,H.R.100,CA,D
Y000033,Don,Young,H.R.219,AK,R
Y000033,Don,Young,H.R.203,AK,R
V000081,Nydia,Velázquez,H.R.201,NY,D
V000081,Nydia,Velázquez,H.R.202,NY,D
Y000033,Don,Young,H.R.205,AK,R
Y000033,Don,Young,H.R.228,AK,R
H000324,Alcee,Hastings,H.R.159,FL,D
Y000033,Don,Young,H.R.200,AK,R
H000324,Alcee,Hastings,H.R.160,FL,D
H000324,Alcee,Hastings,H.R.157,FL,D
H000324,Alcee,Hastings,H.R.158,FL,D
Y000033,Don,Young,H.R.230,AK,R
Y000033,Don,Young,H.R.232,AK,R
F000459,Chuck,Fleischmann,H.R.146,TN,R
H000324,Alcee,Hastings,H.R.165,FL,D
R000601,John,Ratcliffe,H.R.76,TX,R
L000569,Blaine,Luetkemeyer,H.R.77,MO,R
B001243,Marsha,Blackburn,H.R.86,TN,R
G000553,Al,Green,H.R.151,TX,D
C001106,Ryan,Costello,H.R.27,PA,R
Y000033,Don,Young,H.R.204,AK,R
R000575,Mike,Rogers,H.R.193,AL,R
H001068,Jared,Huffman,H.R.169,CA,D
M001179,Tom,Marino,H.R.74,PA,R
H000324,Alcee,Hastings,H.R.163,FL,D
J000255,Walter,Jones,H.R.171,NC,R
W000812,Ann,Wagner,H.R.78,MO,R
H000324,Alcee,Hastings,H.R.166,FL,D
H000324,Alcee,Hastings,H.R.161,FL,D
C000266,Steven,Chabot,H.R.79,OH,R
M001190,Markwayne,Mullin,H.R.181,OK,R
J000255,Walter,Jones,H.R.172,NC,R
G000289,Robert,Goodlatte,H.R.45,VA,R
K000362,Steve,King,H.R.175,IA,R
Y000033,Don,Young,H.R.234,AK,R
Y000033,Don,Young,H.R.206,AK,R
S001148,Mike,Simpson,H.R.196,ID,R
G000553,Al,Green,H.R.154,TX,D
H000324,Alcee,Hastings,H.R.168,FL,D
P000610,Stacey,Plaskett,H.R.189,VI,D
V000130,Juan,Vargas,H.R.199,CA,D
G000410,Gene,Green,H.R.155,TX,D
P000610,Stacey,Plaskett,H.R.191,VI,D
T000238,William,Thornberry,H.R.198,TX,R
G000553,Al,Green,H.R.148,TX,D
C001049,William,Clay,H.R.70,MO,D
P000594,Erik,Paulsen,H.R.184,MN,R
P000610,Stacey,Plaskett,H.R.186,VI,D
K000376,Mike,Kelly,H.R.173,PA,R
P000610,Stacey,Plaskett,H.R.188,VI,D
S001148,Mike,Simpson,H.R.197,ID,R
M001180,David,McKinley,H.R.179,WV,R
M001190,Markwayne,Mullin,H.R.183,OK,R
K000362,Steve,King,H.R.176,IA,R
P000610,Stacey,Plaskett,H.R.187,VI,D
I000056,Darrell,Issa,H.R.170,CA,R
P000610,Stacey,Plaskett,H.R.192,VI,D
H000324,Alcee,Hastings,H.R.167,FL,D
C001093,Doug,Collins,H.R.26,GA,R
B001248,Michael,Burgess,H.R.129,TX,R
B001294,Rod,Blum,H.R.69,IA,R
M001190,Markwayne,Mullin,H.R.182,OK,R
Y000033,Don,Young,H.R.233,AK,R
R000604,Steve,Russell,H.R.195,OK,R
R000582,Phil,Roe,H.R.28,TN,R
P000610,Stacey,Plaskett,H.R.185,VI,D
I000056,Darrell,Issa,H.R.21,CA,R
R000601,John,Ratcliffe,H.R.75,TX,R
H000324,Alcee,Hastings,H.R.162,FL,D
H000324,Alcee,Hastings,H.R.164,FL,D
K000362,Steve,King,H.R.178,IA,R
P000610,Stacey,Plaskett,H.R.190,VI,D
R000604,Steve,Russell,H.R.194,OK,R
F000466,Brian,Fitzpatrick,H.J.RES.8,PA,R
F000466,Brian,Fitzpatrick,H.J.RES.9,PA,R
J000297,Evan,Jenkins,H.J.RES.11,WV,R
M001177,Tom,McClintock,H.J.RES.12,CA,R
F000466,Brian,Fitzpatrick,H.J.RES.7,PA,R
O000170,Beto,O'Rourke,H.J.RES.13,TX,D
H000324,Alcee,Hastings,H.J.RES.10,FL,D
H000324,Alcee,Hastings,H.CON.RES.4,FL,D
W000800,Peter,Welch,H.CON.RES.5,VT,D
C001093,Doug,Collins,H.RES.22,GA,R
N000184,Kristi,Noem,H.R.246,SD,R
R000601,John,Ratcliffe,H.R.239,TX,R
A000367,Justin,Amash,H.R.248,MI,R
B001290,David,Brat,H.R.247,VA,R
C001062,K.,Conaway,H.R.238,TX,R
B001302,Andy,Biggs,H.R.250,AZ,R
C001094,Paul,Cook,H.R.245,CA,R
P000592,Ted,Poe,H.R.241,TX,R
R000601,John,Ratcliffe,H.R.240,TX,R
C001094,Paul,Cook,H.R.244,CA,R
D000096,Danny,Davis,H.R.254,IL,D
W000800,Peter,Welch,H.R.242,VT,D
A000369,Mark,Amodei,H.R.243,NV,R
F000448,Trent,Franks,H.R.257,AZ,R
B001291,Brian,Babin,H.R.249,TX,R
G000582,Jenniffer,González-Colón,H.R.259,PR,R
B001285,Julia,Brownley,H.R.251,CA,D
L000564,Doug,Lamborn,H.R.264,CO,R
G000553,Al,Green,H.R.252,TX,D
B001260,Vern,Buchanan,H.R.253,FL,R
R000600,Amata,Radewagen,H.R.276,AS,R
G000571,Tulsi,Gabbard,H.R.258,HI,D
F000460,Blake,Farenthold,H.R.256,TX,R
L000564,Doug,Lamborn,H.R.263,CO,R
E000293,Elizabeth,Esty,H.R.255,CT,D
L000287,John,Lewis,H.R.266,GA,D
P000605,Scott,Perry,H.R.275,PA,R
G000582,Jenniffer,González-Colón,H.R.261,PR,R
L000287,John,Lewis,H.R.268,GA,D
L000287,John,Lewis,H.R.269,GA,D
L000567,Leonard,Lance,H.R.265,NJ,R
G000410,Gene,Green,H.R.262,TX,D
M001196,Seth,Moulton,H.R.274,MA,D
R000582,Phil,Roe,H.R.277,TN,R
L000287,John,Lewis,H.R.272,GA,D
L000287,John,Lewis,H.R.267,GA,D
G000582,Jenniffer,González-Colón,H.R.260,PR,R
L000287,John,Lewis,H.R.271,GA,D
S001196,Elise,Stefanik,H.R.284,NY,R
R000593,Dennis,Ross,H.R.278,FL,R
T000463,Michael,Turner,H.R.285,OH,R
L000287,John,Lewis,H.R.270,GA,D
L000287,John,Lewis,H.R.273,GA,D
T000463,Michael,Turner,H.R.287,OH,R
S001196,Elise,Stefanik,H.R.282,NY,R
L000578,Doug,LaMalfa,H.R.289,CA,R
S001196,Elise,Stefanik,H.R.283,NY,R
S001196,Elise,Stefanik,H.R.280,NY,R
T000463,Michael,Turner,H.R.286,OH,R
W000791,Greg,Walden,H.R.290,OR,R
S001196,Elise,Stefanik,H.R.281,NY,R
S001196,Elise,Stefanik,H.R.279,NY,R
Y000065,Ted,Yoho,H.R.291,FL,R
Y000033,Don,Young,H.R.293,AK,R
Y000033,Don,Young,H.R.292,AK,R
W000791,Greg,Walden,H.R.288,OR,R
B001289,Bradley,Byrne,H.J.RES.14,AL,R
A000367,Justin,Amash,H.J.RES.15,MI,R
P000605,Scott,Perry,H.J.RES.18,PA,R
P000601,Steven,Palazzo,H.J.RES.17,MS,R
L000564,Doug,Lamborn,H.J.RES.16,CO,R
S000320,Richard,Shelby,S.J.RES.3,AL,R
F000062,Dianne,Feinstein,S.31,CA,D
T000464,Jon,Tester,S.29,MT,D
F000062,Dianne,Feinstein,S.30,CA,D
H001041,Dean,Heller,S.22,NV,R
S001181,Jeanne,Shaheen,S.25,NH,D
C000141,Benjamin,Cardin,S.27,MD,D
C000141,Benjamin,Cardin,S.CON.RES.4,MD,D
C001075,Bill,Cassidy,S.24,LA,R
C001075,Bill,Cassidy,S.23,LA,R
P000603,Rand,Paul,S.21,KY,R
F000444,Jeff,Flake,S.28,AZ,R
W000779,Ron,Wyden,S.26,OR,D
R000595,Marco,Rubio,S.RES.6,FL,R
J000297,Evan,Jenkins,H.RES.26,WV,R
K000362,Steve,King,H.RES.27,IA,R
C001076,Jason,Chaffetz,H.RES.24,UT,R
P000523,David,Price,H.RES.23,NC,D
D000598,Susan,Davis,H.RES.28,CA,D
L000551,Barbara,Lee,H.CON.RES.6,CA,D
R000593,Dennis,Ross,H.CON.RES.7,FL,R
C001038,Joseph,Crowley,H.RES.25,NY,D
O000168,Pete,Olson,H.R.309,TX,R
C001076,Jason,Chaffetz,H.R.298,UT,R
G000552,Louie,Gohmert,H.R.311,TX,R
D000621,Ron,DeSantis,H.R.322,FL,R
G000558,Brett,Guthrie,H.R.302,KY,R
B001243,Marsha,Blackburn,H.R.313,TN,R
C001105,Barbara,Comstock,H.R.321,VA,R
B001278,Suzanne,Bonamici,H.R.312,OR,D
N000184,Kristi,Noem,H.R.337,SD,R
G000568,Morgan,Griffith,H.R.323,VA,R
D000626,Warren,Davidson,H.R.307,OH,R
B001248,Michael,Burgess,H.R.315,TX,R
C001037,Michael,Capuano,H.R.317,MA,D
L000551,Barbara,Lee,H.R.334,CA,D
S000248,José,Serrano,H.R.340,NY,D
B000490,Sanford,Bishop,H.R.333,GA,D
R000515,Bobby,Rush,H.R.338,IL,D
S001177,Gregorio,Sablan,H.R.339,MP,D
L000551,Barbara,Lee,H.R.330,CA,D
S001165,Albio,Sires,H.R.343,NJ,D
L000551,Barbara,Lee,H.R.332,CA,D
C001037,Michael,Capuano,H.R.319,MA,D
C000059,Ken,Calvert,H.R.295,CA,R
E000215,Anna,Eshoo,H.R.305,CA,D
C001076,Jason,Chaffetz,H.R.296,UT,R
C001037,Michael,Capuano,H.R.316,MA,D
O000168,Pete,Olson,H.R.294,TX,R
D000626,Warren,Davidson,H.R.308,OH,R
Y000066,David,Young,H.R.300,IA,R
C001076,Jason,Chaffetz,H.R.297,UT,R
D000191,Peter,DeFazio,H.R.310,OR,D
B001243,Marsha,Blackburn,H.R.314,TN,R
V000129,David,Valadao,H.R.299,CA,R
H001067,Richard,Hudson,H.R.304,NC,R
E000215,Anna,Eshoo,H.R.306,CA,D
S000248,José,Serrano,H.R.341,NY,D
Y000033,Don,Young,H.R.348,AK,R
C001090,Matt,Cartwright,H.R.301,PA,D
W000822,Bonnie,Watson Coleman,H.R.347,NJ,D
B001257,Gus,Bilirakis,H.R.303,FL,R
T000475,Dave,Trott,H.R.346,MI,R
C001037,Michael,Capuano,H.R.318,MA,D
L000563,Daniel,Lipinski,H.R.349,IL,D
C001037,Michael,Capuano,H.R.320,MA,D
L000551,Barbara,Lee,H.R.325,CA,D
S001196,Elise,Stefanik,H.R.344,NY,R
S001191,Kyrsten,Sinema,H.R.342,AZ,D
T000475,Dave,Trott,H.R.345,MI,R
L000551,Barbara,Lee,H.R.327,CA,D
L000551,Barbara,Lee,H.R.331,CA,D
L000551,Barbara,Lee,H.R.326,CA,D
L000551,Barbara,Lee,H.R.329,CA,D
K000379,Joseph,Kennedy,H.R.324,MA,D
L000551,Barbara,Lee,H.R.328,CA,D
M001187,Mark,Meadows,H.R.336,NC,R
L000287,John,Lewis,H.R.335,GA,D
C001068,Steve,Cohen,H.J.RES.19,TN,D
R000595,Marco,Rubio,S.38,FL,R
E000295,Joni,Ernst,S.37,IA,R
T000464,Jon,Tester,S.39,MT,D
R000595,Marco,Rubio,S.47,FL,R
G000386,Charles,Grassley,S.52,IA,R
H001041,Dean,Heller,S.46,NV,R
D000614,Sean,Duffy,H.J.RES.20,WI,R
I000024,James,Inhofe,S.36,OK,R
H001041,Dean,Heller,S.43,NV,R
H001041,Dean,Heller,S.42,NV,R
C001098,Ted,Cruz,S.45,TX,R
H001041,Dean,Heller,S.40,NV,R
H001041,Dean,Heller,S.44,NV,R
M001153,Lisa,Murkowski,S.49,AK,R
H001041,Dean,Heller,S.48,NV,R
G000555,Kirsten,Gillibrand,S.55,NY,D
C000127,Maria,Cantwell,S.53,WA,D
C001075,Bill,Cassidy,S.57,LA,R
T000250,John,Thune,S.35,SD,R
G000386,Charles,Grassley,S.51,IA,R
H001041,Dean,Heller,S.50,NV,R
F000062,Dianne,Feinstein,S.32,CA,D
S001198,Dan,Sullivan,S.56,AK,R
K000367,Amy,Klobuchar,S.41,MN,D
J000293,Ron,Johnson,S.34,WI,R
M001153,Lisa,Murkowski,S.33,AK,R
S000148,Charles,Schumer,S.RES.8,NY,D
M000355,Mitch,McConnell,S.RES.7,KY,R
B001288,Cory,Booker,S.54,NJ,D
M001188,Grace,Meng,H.RES.32,NY,D
S001195,Jason,Smith,H.RES.29,MO,R
M001180,David,McKinley,H.RES.31,WV,R
R000586,Jim,Renacci,H.CON.RES.8,OH,R
H000324,Alcee,Hastings,H.RES.30,FL,D
S001193,Eric,Swalwell,H.R.356,CA,D
G000568,Morgan,Griffith,H.R.359,VA,R
L000491,Frank,Lucas,H.R.353,OK,R
P000594,Erik,Paulsen,H.R.365,MN,R
G000551,Raúl,Grijalva,H.R.360,AZ,D
M001156,Patrick,McHenry,H.R.350,NC,R
M001190,Markwayne,Mullin,H.R.364,OK,R
B001273,Diane,Black,H.R.354,TN,R
M001197,Martha,McSally,H.R.362,AZ,R
B001286,Cheri,Bustos,H.R.357,IL,D
G000568,Morgan,Griffith,H.R.358,VA,R
R000592,Todd,Rokita,H.R.352,IN,R
S000051,Mark,Sanford,H.R.351,SC,R
W000795,Joe,Wilson,H.R.355,SC,R
P000605,Scott,Perry,H.J.RES.22,PA,R
K000362,Steve,King,H.R.361,IA,R
P000601,Steven,Palazzo,H.J.RES.21,MS,R
M001189,Luke,Messer,H.R.363,IN,R
P000605,Scott,Perry,H.R.366,PA,R
C001093,Doug,Collins,H.RES.33,GA,R
C001038,Joseph,Crowley,H.RES.34,NY,D
D000533,John,Duncan,H.RES.35,TN,R
G000565,Paul,Gosar,H.R.372,AZ,R
M001177,Tom,McClintock,H.R.381,CA,R
D000615,Jeffrey,Duncan,H.R.367,SC,R
G000552,Louie,Gohmert,H.R.373,TX,R
C001101,Katherine,Clark,H.R.371,MA,D
F000461,Bill,Flores,H.R.370,TX,R
M001157,Michael,McCaul,H.R.380,TX,R
S000244,F.,Sensenbrenner,H.R.386,WI,R
H000324,Alcee,Hastings,H.R.379,FL,D
R000582,Phil,Roe,H.R.369,TN,R
P000599,Bill,Posey,H.R.384,FL,R
Y000063,Kevin,Yoder,H.R.387,KS,R
H001056,Jaime,Herrera Beutler,H.R.374,WA,R
M001188,Grace,Meng,H.R.382,NY,D
C001037,Michael,Capuano,H.R.376,MA,D
R000600,Amata,Radewagen,H.R.385,AS,R
B001243,Marsha,Blackburn,H.R.375,TN,R
F000459,Chuck,Fleischmann,H.R.378,TN,R
D000600,Mario,Diaz-Balart,H.R.377,FL,R
C001087,Rick,Crawford,H.R.368,AR,R
P000599,Bill,Posey,H.R.383,FL,R
H001074,Trey,Hollingsworth,H.J.RES.23,IN,R
M001179,Tom,Marino,H.J.RES.24,PA,R
M001179,Tom,Marino,H.J.RES.25,PA,R
W000817,Elizabeth,Warren,S.65,MA,D
R000307,Pat,Roberts,S.69,KS,R
N000032,Bill,Nelson,S.72,FL,D
N000032,Bill,Nelson,S.73,FL,D
N000032,Bill,Nelson,S.71,FL,D
C001098,Ted,Cruz,S.67,TX,R
C000880,Michael,Crapo,S.59,ID,R
M001170,Claire,McCaskill,S.75,MO,D
M000934,Jerry,Moran,S.63,KS,R
N000032,Bill,Nelson,S.74,FL,D
A000360,Lamar,Alexander,S.60,TN,R
H001041,Dean,Heller,S.58,NV,R
C000127,Maria,Cantwell,S.61,WA,D
E000285,Michael,Enzi,S.70,WY,R
H001041,Dean,Heller,S.66,NV,R
C001098,Ted,Cruz,S.68,TX,R
F000444,Jeff,Flake,S.62,AZ,R
M000303,John,McCain,S.64,AZ,R
L000581,Brenda,Lawrence,H.RES.41,MI,D
C001093,Doug,Collins,H.RES.37,GA,R
C001093,Doug,Collins,H.RES.36,GA,R
C001038,Joseph,Crowley,H.RES.39,NY,D
P000608,Scott,Peters,H.RES.42,CA,D
W000804,Robert,Wittman,H.RES.43,VA,R
N000189,Dan,Newhouse,H.RES.40,WA,R
C001076,Jason,Chaffetz,H.RES.38,UT,R
S001170,Carol,Shea-Porter,H.R.388,NH,D
C001076,Jason,Chaffetz,H.R.397,UT,R
D000399,Lloyd,Doggett,H.R.399,TX,D
C001076,Jason,Chaffetz,H.R.396,UT,R
C001076,Jason,Chaffetz,H.R.391,UT,R
T000238,William,Thornberry,H.R.393,TX,R
K000386,John,Katko,H.R.398,NY,R
F000459,Chuck,Fleischmann,H.R.404,TN,R
L000581,Brenda,Lawrence,H.R.416,MI,D
K000210,Peter,King,H.R.411,NY,R
C001076,Jason,Chaffetz,H.R.392,UT,R
L000581,Brenda,Lawrence,H.R.414,MI,D
K000362,Steve,King,H.R.408,IA,R
L000581,Brenda,Lawrence,H.R.413,MI,D
L000581,Brenda,Lawrence,H.R.415,MI,D
R000487,Edward,Royce,H.R.389,CA,R
L000584,Mia,Love,H.R.395,UT,R
J000297,Evan,Jenkins,H.R.405,WV,R
C001109,Liz,Cheney,H.R.401,WY,R
S000522,Christopher,Smith,H.R.390,NJ,R
R000601,John,Ratcliffe,H.R.426,TX,R
F000460,Blake,Farenthold,H.R.403,TX,R
L000581,Brenda,Lawrence,H.R.419,MI,D
M001188,Grace,Meng,H.R.423,NY,D
K000362,Steve,King,H.R.409,IA,R
L000581,Brenda,Lawrence,H.R.417,MI,D
J000290,Lynn,Jenkins,H.R.394,KS,R
Y000065,Ted,Yoho,H.R.430,FL,R
T000238,William,Thornberry,H.R.428,TX,R
L000581,Brenda,Lawrence,H.R.418,MI,D
K000362,Steve,King,H.R.407,IA,R
L000581,Brenda,Lawrence,H.R.420,MI,D
S001165,Albio,Sires,H.R.427,NJ,D
W000804,Robert,Wittman,H.R.429,VA,R
B001273,Diane,Black,H.R.400,TN,R
K000362,Steve,King,H.R.410,IA,R
L000584,Mia,Love,H.R.421,UT,R
M001177,Tom,McClintock,H.R.422,CA,R
P000592,Ted,Poe,H.R.425,TX,R
P000258,Collin,Peterson,H.R.424,MN,D
C001068,Steve,Cohen,H.R.402,TN,D
L000581,Brenda,Lawrence,H.R.412,MI,D
K000188,Ron,Kind,H.R.406,WI,D
K000009,Marcy,Kaptur,H.J.RES.26,OH,D
M001153,Lisa,Murkowski,S.91,AK,R
M000303,John,McCain,S.92,AZ,R
E000295,Joni,Ernst,S.93,IA,R
T000461,Patrick,Toomey,S.87,PA,R
M000303,John,McCain,S.86,AZ,R
C001047,Shelley,Capito,S.76,WV,R
F000463,Deb,Fischer,S.88,NE,R
C000880,Michael,Crapo,S.80,ID,R
